"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"1931-32","07/05/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12401"
"1931-32","06/30/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12396"
"1931-32","06/28/1932 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12394"
"1931-32","04/21/1932 20:45:00","2","Hans Lange","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Harold Bauer","4677"
"1931-32","03/27/1932 15:00:00","1","Thomas Beecham","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6793"
"1931-32","02/25/1932 20:45:00","2","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Bruno Walter","2453"
"1931-32","01/23/1932 20:45:00","1","Bruno Walter","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","3383"
"1931-32","01/10/1932 15:00:00","1","Ossip Gabrilowitsch","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Mishel Piastro","3361"
"1931-32","11/26/1931 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Adolf Busch","329"
"1931-32","11/12/1931 20:45:00","3","Erich Kleiber","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","317"
"1931-32","10/08/1931 20:45:00","4","Erich Kleiber","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","7266"
"1930-31","08/19/1931 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12637"
"1930-31","08/14/1931 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12632"
"1930-31","08/09/1931 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Great Hall, City College of New York","Stadium Concert","","12627"
"1930-31","08/02/1931 20:30:00","1","Fritz Reiner","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12620"
"1930-31","07/27/1931 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12614"
"1930-31","07/17/1931 20:30:00","1","Hans Lange","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Anna Duncan","12468"
"1930-31","07/16/1931 20:30:00","1","Hans Lange","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","Anna Duncan","12467"
"1930-31","07/07/1931 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12452"
"1930-31","04/01/1931 14:30:00","4","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6047"
"1930-31","03/04/1931 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5591"
"1930-31","02/28/1931 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Audience","3021"
"1930-31","02/07/1931 20:45:00","2","Bernardino Molinari","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","5176"
"1930-31","01/31/1931 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Harry Glantz,Bruno Jaenicke,Audience","6056"
"1930-31","12/21/1930 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2182"
"1930-31","12/11/1930 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall,Metropolitan Opera House (39th street)","Subscription Season","","2164"
"1930-31","11/13/1930 20:45:00","3","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","1696"
"1930-31","11/02/1930 15:00:00","1","Erich Kleiber","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","Josep Iturbi Bàguena","1683"
"1929-30","08/31/1930 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12680"
"1929-30","08/29/1930 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12679"
"1929-30","08/10/1930 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12691"
"1929-30","08/07/1930 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12660"
"1929-30","07/18/1930 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12649"
"1929-30","07/14/1930 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12683"
"1929-30","07/12/1930 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12682"
"1929-30","05/30/1930 20:30:00","1","Arturo Toscanini","New York Philharmonic","Brussels, BELGIUM","Palais des Beaux-Arts","Tour","","4193"
"1929-30","05/28/1930 19:30:00","1","Arturo Toscanini","New York Philharmonic","Berlin, GERMANY","Philharmonie","Tour","","4187"
"1929-30","05/27/1930 19:30:00","1","Arturo Toscanini","New York Philharmonic","Berlin, GERMANY","Philharmonie","Tour","","4181"
"1929-30","05/26/1930 19:30:00","1","Arturo Toscanini","New York Philharmonic","Dresden, GERMANY","Sachsische Staatstheater Opernhaus","Tour","No Soloist","4177"
"1929-30","05/25/1930 19:00:00","1","Arturo Toscanini","New York Philharmonic","Leipzig, Germany","Gewandhaus","Tour","","4171"
"1929-30","05/23/1930 20:00:00","1","Arturo Toscanini","New York Philharmonic","Prague, CZECH REPUBLIC","Lucerna-Saal","Tour","No Soloist","4164"
"1929-30","05/21/1930 20:00:00","1","Arturo Toscanini","New York Philharmonic","Budapest, HUNGARY","Varosy Theater","Tour","No Soloist","4159"
"1929-30","05/19/1930 19:30:00","1","Arturo Toscanini","New York Philharmonic","Vienna, AUSTRIA","Staatsoper","Tour","","4155"
"1929-30","05/18/1930 15:00:00","1","Arturo Toscanini","New York Philharmonic","Vienna, AUSTRIA","Staatsoper","Tour","","13485"
"1929-30","05/16/1930 20:00:00","1","Arturo Toscanini","New York Philharmonic","Munich, GERMANY","Tonhalle","Tour","","4149"
"1929-30","05/13/1930 21:00:00","1","Arturo Toscanini","New York Philharmonic","Rome, Italy","Augusteo","Tour","","4138"
"1929-30","05/08/1930 21:15:00","1","Arturo Toscanini","New York Philharmonic","Milan, Italy","Teatro alla Scala","Tour","","4127"
"1929-30","05/03/1930 21:00:00","1","Arturo Toscanini","New York Philharmonic","Paris, FRANCE","Théâtre National de l'Opéra","Tour","No Soloist","4119"
"1929-30","03/29/1930 00:00:00","1","Ernest Schelling","New York Philharmonic","Newark, NJ","Mosque Theatre","Young People's Concert","Audience","6492"
"1929-30","03/22/1930 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Audience","6487"
"1929-30","03/09/1930 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","6958"
"1929-30","03/08/1930 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Saul Goodman,Oscar Shumsky,Audience","6485"
"1929-30","03/07/1930 20:45:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Pension Fund Benefit Concert","","6955"
"1929-30","02/08/1930 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Mario Falcone,Harry Glantz,Bruno Jaenicke,George Lucas,Albert E Clarke,LeRoy (Roy) R Haines,Audience","2145"
"1929-30","02/01/1930 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Simeon Bellison,Benjamin Kohon,Audience","2141"
"1929-30","01/25/1930 20:45:00","5","Bernardino Molinari","New York Philharmonic","Manhattan, NY,Philadelphia, PA,Washington, DC,Baltimore, MD,Brooklyn, NY","Carnegie Hall,Academy of Music,Constitution Hall,Lyric Theatre,Brooklyn Academy of Music","Student Concert,Subscription Season","Scipione Guidi","6171"
"1929-30","01/11/1930 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Audience","5145"
"1929-30","12/22/1929 15:00:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ossip Gabrilowitsch","3553"
"1929-30","12/12/1929 20:45:00","2","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Schola Cantorum of NY","3533"
"1929-30","12/01/1929 15:00:00","1","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","","3512"
"1929-30","11/23/1929 20:45:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","3126"
"1929-30","10/03/1929 20:45:00","4","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Alfred Wallenstein","2641"
"1928-29","08/29/1929 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12744"
"1928-29","08/27/1929 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Great Hall, City College of New York","Stadium Concert","","12742"
"1928-29","08/14/1929 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12730"
"1928-29","08/04/1929 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12724"
"1928-29","07/28/1929 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12718"
"1928-29","07/26/1929 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12716"
"1928-29","07/25/1929 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12715"
"1928-29","07/13/1929 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12704"
"1928-29","07/08/1929 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12699"
"1928-29","04/24/1929 00:00:00","1","Ernest Schelling","New York Philharmonic","Newark, NJ","Mosque Theatre","Young People's Concert","Audience","10035"
"1928-29","04/13/1929 00:00:00","1","Ernest Schelling","New York Philharmonic","Newark, NJ","Mosque Theatre","Young People's Concert","Audience","3359"
"1928-29","03/16/1929 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Audience","2920"
"1928-29","03/16/1929 20:45:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY,Brooklyn, NY","Carnegie Hall,Brooklyn Academy of Music","Subscription Season","","961"
"1928-29","02/14/1929 14:30:00","2","Ossip Gabrilowitsch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","540"
"1928-29","02/09/1929 20:45:00","2","Ossip Gabrilowitsch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Ossip Gabrilowitsch","536"
"1928-29","01/05/1929 11:00:00","1","Walter Damrosch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","","2064"
"1928-29","12/29/1928 14:30:00","1","Walter Damrosch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Gerald Warburg","6843"
"1928-29","12/06/1928 14:30:00","2","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","Vladimir Horowitz","4904"
"1928-29","11/03/1928 11:00:00","1","Walter Damrosch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Bruno Labate,Michel Nazzi,Scipione Guidi,Georges Apchain","6394"
"1928-29","10/25/1928 14:30:00","2","Walter Damrosch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4079"
"1928-29","10/13/1928 00:00:00","1","Walter Damrosch","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","","6001"
"1928-29","10/04/1928 20:30:00","3","Willem Mengelberg","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","4031"
"1927-28","08/29/1928 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12794"
"1927-28","08/15/1928 20:30:00","1","Bernardino Molinari","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12785"
"1927-28","08/12/1928 20:30:00","1","Bernardino Molinari","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12781"
"1927-28","08/07/1928 20:30:00","1","Bernardino Molinari","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12778"
"1927-28","08/04/1928 20:30:00","1","Bernardino Molinari","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12775"
"1927-28","08/03/1928 20:30:00","1","Bernardino Molinari","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","William Clarke","12774"
"1927-28","07/31/1928 20:30:00","1","Albert Coates","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12771"
"1927-28","07/25/1928 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","","12765"
"1927-28","07/17/1928 20:30:00","2","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Lewisohn Stadium","Stadium Concert","The Choral Symphony Society of New York,Charles Stratton,Louise Lerch,Alexander Kisselburgh,Elizabeth Lennox","12758"
"1927-28","07/12/1928 20:30:00","1","Willem van Hoogstraten","Stadium-NY Philharmonic","Manhattan, NY","Great Hall, City College of New York","Stadium Concert","","12753"
"1927-28","05/05/1928 00:00:00","1","Ernest Schelling","New York Philharmonic","Newark, NJ","Mosque Theatre","Young People's Concert","Audience","5173"
"1927-28","04/19/1928 00:00:00","2","Ernest Schelling","New York Philharmonic","Bronx, NY,Brooklyn, NY","Monroe High School,Girls' Commercial HS","Young People's Concert","Audience","4738"
"1927-28","04/01/1928 15:00:00","1","Walter Damrosch,Enrique Fernández Arbós","New York Symphony","Manhattan, NY","Mecca Auditorium","Subscription Season","Jascha Heifetz","10253"
"1927-28","03/31/1928 20:30:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","","6180"
"1927-28","03/17/1928 20:30:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert","Alfredo Tedesco","2396"
"1927-28","03/08/1928 20:15:00","1","Arturo Toscanini","New York Philharmonic","Buffalo, NY","Elmwood Hall","Tour","No Soloist","13470"
"1927-28","03/06/1928 16:30:00","1","Arturo Toscanini","New York Philharmonic","Washington, DC","National Theatre","Tour","No Soloist","13469"
"1927-28","03/05/1928 20:15:00","1","Arturo Toscanini","New York Philharmonic","Philadelphia, PA","Academy of Music","Tour","No Soloist","4097"
"1927-28","03/04/1928 15:00:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","2383"
"1927-28","02/25/1928 14:30:00","1","Eugene Aynsley Goossens","New York Symphony","Manhattan, NY","Carnegie Hall","Young People's Concert","Madeleine Monnier","10252"
"1927-28","02/18/1928 11:00:00","1","Ernest Schelling","New York Philharmonic","Manhattan, NY","Carnegie Hall","Young People's Concert","Harry Glantz,Bruno Jaenicke,Audience","3865"
"1927-28","02/16/1928 20:30:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","1971"
"1927-28","02/14/1928 20:30:00","1","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Metropolitan Opera House (39th street)","Subscription Season","No Soloist","1966"
"1927-28","02/12/1928 15:00:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Mecca Auditorium","Subscription Season","Vladimir Horowitz","8889"
"1927-28","02/10/1928 20:30:00","1","Walter Damrosch","New York Symphony","Manhattan, NY","Carnegie Hall","Subscription Season","Dusolina Giannini","8888"
"1927-28","02/04/1928 20:30:00","2","Arturo Toscanini","New York Philharmonic","Manhattan, NY","Carnegie Hall","Student Concert,Subscription Season","","1945"
"1927-28","01/22/1928 15:00:00","1","Bernardino Molinari","New York Philharmonic","Manhattan, NY","Carnegie Hall","Subscription Season","","1513"
